nama_tpu,wilayah,kecamatan,kelurahan,alamat,luas,unit_agama,jumlah_terisi,lat,lon,confidence,nominatim_match_type
TPU ROROTAN,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,"JL. ROROTAN IX, RT.3/RW.9, ROROTAN, KEC. CILINCING, KOTA JKT UTARA, DAERAH KHUSUS IBUKOTA JAKARTA 14140",235398,ISLAM/ KRISTEN/ HINDU/ BUDHA,11048,,,FAILED,
TPU TEGAL ALUR I (KRISTEN),KOTA ADM. JAKARTA BARAT,KALIDERES,TEGAL ALUR,"JL. BENDA RAYA NO.17, RT.8/RW.2, TEGAL ALUR, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11810",104810,KRISTEN,29740,,,FAILED,
TPU TEGAL ALUR II (ISLAM),KOTA ADM. JAKARTA BARAT,KALIDERES,TEGAL ALUR,"JL. PEMAKAMAN, RT.3/RW.9, TEGAL ALUR, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11820",550235,ISLAM,48303,,,FAILED,
TPU SUKABUMI SELATAN,KOTA ADM. JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,"JL. RAYA SUKABUMI SELATAN, RT.8/RW.6, SUKABUMI SEL., KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11560",10960,ISLAM,4630,,,FAILED,
TPU JOGLO,KOTA ADM. JAKARTA BARAT,KEMBANGAN,JOGLO,"JL. PALEM RAYA, RT.8/RW.3, JOGLO, KEC. KEMBANGAN, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11640",75295,ISLAM/ KRISTEN,18234,,,FAILED,
TPU GROGOL KEMANGGISAN,KOTA ADM. JAKARTA BARAT,PAL MERAH,PALMERAH,"JL. KEMANGGISAN PULO NO.51, RT.1/RW.9, PALMERAH, KEC. PALMERAH, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11480",19138,ISLAM,16038,,,FAILED,
TPU RAWA KOPI,KOTA ADM. JAKARTA BARAT,KEBON JERUK,KEDOYA SELATAN,"JL. KEDOYA RAYA NO.25, RT.7/RW.3, KEDOYA SEL., KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11520",16645,ISLAM,11335,,,FAILED,
TPU KEPA DURI,KOTA ADM. JAKARTA BARAT,KEBON JERUK,DURI KEPA,"JL. VILLA TOMANG MAS NO.13, RT.3/RW.8, DURI KEPA, KEC. KB. JERUK, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11510",23140,ISLAM,12051,,,FAILED,
TPU BASMOL,KOTA ADM. JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,"KEMBANGAN UTARA, KEC. KEMBANGAN, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA",10335,ISLAM,8927,,,FAILED,
TPU KAPUK KEBON JAHE,KOTA ADM. JAKARTA BARAT,CENGKARENG,KAPUK,"JL. KAPUK DARURAT NO.95, RT.3/RW.12, KAPUK, KECAMATAN CENGKARENG, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11720",12000,ISLAM,5720,,,FAILED,
TPU UTAN JATI,KOTA ADM. JAKARTA BARAT,KALIDERES,PEGADUNGAN,"TPU UTAN JATI, JL. UTAN JATI, RT.2/RW.11, PEGADUNGAN, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11830",15860,ISLAM,9286,,,FAILED,
TPU SEMANAN,KOTA ADM. JAKARTA BARAT,KALIDERES,SEMANAN,"JL. RAYA KRAMAT SEMANAN NO.77, RT.1/RW.10, SEMANAN, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11850",8240,ISLAM,5594,,,FAILED,
TPU PEGADUNGAN,KOTA ADM. JAKARTA BARAT,KALIDERES,KALIDERES,"JL. BENDA RAYA NO.74, RT.7/RW.7, PREPEDAN, KEC. KALIDERES, KOTA JAKARTA BARAT, DAERAH KHUSUS IBUKOTA JAKARTA 11820, INDONESIA",659430,ISLAM,0,,,FAILED,
