nama_tpu,wilayah,kecamatan,kelurahan,alamat,luas,unit_agama,jumlah_terisi,lat,lon,confidence,nominatim_match_type
TPU MENTENG PULO I,KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,"JL MENTENG PULO NO 9 RT .16/RW.05 MENTENG DALAM KECAMATAN TEBET KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12960",113758,ISLAM/ KRISTEN/ HINDU/ BUDHA,48523,,,FAILED,
TPU MENTENG PULO II (TEBET) DAN TPU MENTENG PULO III (SETIABUDI),KOTA ADM. JAKARTA SELATAN,TEBET,MENTENG DALAM,"JL. CASABLANCA, RT.10/RW.13, MENTENG DALAM, KEC. TEBET, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12870",213080,ISLAM/ KRISTEN/ HINDU/ BUDHA,24746,,,FAILED,
TPU CIDODOL (I DAN II),KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,"GROGOL SEL., KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12220",25009,ISLAM,2527,,,FAILED,
TPU GROGOL SELATAN,KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,"RT.10/RW.10, GROGOL SEL., KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12220",7532,ISLAM,3928,,,FAILED,
TPU CIPINANG ASEM,KOTA ADM. JAKARTA TIMUR,MAKASAR,KEBON PALA,"JL. JENGKI, MALAKA, RT.1/RW.2, KB. PALA, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 11230",19024,ISLAM/ KRISTEN,11404,,,FAILED,
TPU KEBON PALA,KOTA ADM. JAKARTA TIMUR,MAKASAR,KEBON PALA,"JL. JENGKI NO.21, RT.1/RW.2, KB. PALA, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13650",8197,ISLAM,5829,,,FAILED,
TPU KAMPUNG DUKUH,KOTA ADM. JAKARTA TIMUR,KRAMATJATI,DUKUH,"JL. PENGGILINGAN BARU NO.1, RT.11/RW.3, DUKUH, KEC. KRAMAT JATI, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13550",8063,ISLAM,5283,,,FAILED,
TPU KP. RAMBUTAN (I DAN II),KOTA ADM. JAKARTA TIMUR,CIRACAS,RAMBUTAN,"JL. MUTIARA ASGO NO.5, RT.11/RW.3, RAMBUTAN, KEC. CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13830",5175,ISLAM,4240,,,FAILED,
TPU CILANGKAP,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,"JL. MALAKA II NO.3, RT.6/RW.6, MALAKA SARI, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13460",23600,ISLAM,4735,,,FAILED,
TPU SUSUKAN ISLAM,KOTA ADM. JAKARTA TIMUR,CIRACAS,SUSUKAN,"JL. SUCI NO.13, RT.7/RW.4, SUSUKAN, KEC. CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13750",13826,ISLAM,6577,,,FAILED,
TPU CIRACAS,KOTA ADM. JAKARTA TIMUR,CIRACAS,CIRACAS,"JL. RAYA CENTEX NO.6, RT.15/RW.3, CIRACAS, KEC. CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13740",9487,ISLAM,5354,,,FAILED,
TPU MUNJUL,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,MUNJUL,"JL. MASJID AL-AKBAR NO.RT.02, RT.2/RW.1, MUNJUL, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13850",9820,ISLAM,3832,,,FAILED,
TPU CIBUBUR (I DAN II),KOTA ADM. JAKARTA TIMUR,CIRACAS,CIBUBUR,"JL. PARKIT RAYA NO.120-127, RT.2/RW.3, CIBUBUR, KEC. CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13720",8695,ISLAM,4530,,,FAILED,
TPU SUSUKAN BUDHA,KOTA ADM. JAKARTA TIMUR,CIRACAS,RAMBUTAN,"JL. TANAH MERDEKA NO.32, RT.9/RW.5, RAMBUTAN, KEC. CIRACAS, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13830",18473,KRISTEN/ HINDU/ BUDHA,2832,,,FAILED,
TPU TANAH KUSIR (I DAN II),KOTA ADM. JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,"JALAN RAYA BINTARO, RT.2/RW.10, KBY. LAMA SEL., KEC. KBY. LAMA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12240",531860,ISLAM/ KRISTEN/ HINDU/ BUDHA,72711,,,FAILED,
TPU KAMPUNG KONGSI,KOTA ADM. JAKARTA SELATAN,PESANGGRAHAN,BINTARO,"JL. MAWAR III NO.49, RT.1/RW.14, BINTARO, KEC. PESANGGRAHAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12330",2720,ISLAM,689,,,FAILED,
TPU KAMPUNG KANDANG,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,"JL. MOH. KAHFI 1 SEBERANG TPU.KP.KANDANG NO.1F, RT.10/RW.6, JAGAKARSA, KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12065",237404,ISLAM/ KRISTEN,24073,,,FAILED,
TPU SRENGSENG SAWAH,KOTA ADM. JAKARTA SELATAN,JAGAKARSA,SRENGSENG SAWAH,"JL. SRENGSENG SAWAH, RT.12/RW.7, SRENGSENG SAWAH, KEC. JAGAKARSA, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12640",149769,ISLAM,18232,,,FAILED,
TPU KEBAGUSAN,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,"JL. KONG ALI GG. IKHTIAR, RT.2/RW.3, KEBAGUSAN, KEC. PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12520",8579,ISLAM,2696,,,FAILED,
TPU PISANGAN,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,"JL. HARSONO RM NO.59, RT.10/RW.7, RAGUNAN, KEC. PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12550",4985,ISLAM,2020,,,FAILED,
TPU PASAR MINGGU,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,RAGUNAN,"JL. RAYA RAGUNAN, RT.5/RW.2, RAGUNAN, KEC. PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12520",23272,KRISTEN/ HINDU/ BUDHA,644,,,FAILED,
TPU PEJATEN TIMUR,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,"RT.7/RW.6, PEJATEN TIM., KEC. PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12510",2384,ISLAM,1500,,,FAILED,
TPU PEJATEN BARAT,KOTA ADM. JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,"NO., JL. JATIPADANG UTARA NO.93, RT.13/RW.2, JATI PADANG, KEC. PS. MINGGU, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12540",3954,ISLAM,2209,,,FAILED,
TPU CIKOKO,KOTA ADM. JAKARTA SELATAN,PANCORAN,CIKOKO,"RT.9/RW.2, CIKOKO, KEC. PANCORAN, KOTA JAKARTA SELATAN, DAERAH KHUSUS IBUKOTA JAKARTA 12770",3618,ISLAM,1858,,,FAILED,
TPU PONDOK RANGGON,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,"JL. RAYA TPU PD. RANGGON, RT.7/RW.4, PD. RANGGON, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13860",685242,ISLAM/ KRISTEN/ HINDU/ BUDHA,110086,,,FAILED,
TPU PONDOK KELAPA,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"JL. TPU PD. KLP., RT.3/RW.4, PD. KLP., KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13450",443121,ISLAM/ KRISTEN/ HINDU/ BUDHA,37485,,,FAILED,
TPU MALAKA I (PONDOK KELAPA),KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"JL. RAWADAS NO.110, RT.8/RW.3, PD. KOPI, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13460",9737,ISLAM/ KRISTEN/ HINDU/ BUDHA,34600,,,FAILED,
TPU TANAH MERAH MALAKA II (PONDOK KELAPA),KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,"RT.8/RW.2, PD. KOPI, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13460",58761,ISLAM/ KRISTEN/ HINDU/ BUDHA,25749,,,FAILED,
TPU CIPINANG BESAR,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,"JALAN KEBON NANAS, RT.1/RW.5, CIPINANG BESAR SELATAN, JATINEGARA, RT.10/RW.2, CIPINANG BESAR SEL., KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13410",160190,ISLAM/ KRISTEN/ HINDU/ BUDHA,22501,,,FAILED,
TPU KOBER JATINEGARA,KOTA ADM. JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,"JL. KOBER KECIL NO.3, RT.2/RW.8, RW. BUNGA, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13350",71000,ISLAM,21192,,,FAILED,
TPU KP BAYUR,KOTA ADM. JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,"JAKARTA TIMUR, RT.9/RW.4, CIPINANG MELAYU, KEC. MAKASAR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13620",2762,ISLAM,2550,,,FAILED,
TPU PRUMPUNG,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,"JL. TPU PRUMPUNG, RT.3/RW.6, CIPINANG BESAR UTARA, KECAMATAN JATINEGARA, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13410",47012,ISLAM,20954,,,FAILED,
TPU PENGGILINGAN,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,JATI,"JL. LAYUR NO.2, RT.20/RW.5, JATI, KEC. PULO GADUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13220",50660,ISLAM,33636,,,FAILED,
TPU KP. PENGGILINGAN,KOTA ADM. JAKARTA TIMUR,CAKUNG,PENGGILINGAN,"JL. PENGGILINGAN, PENGGILINGAN, KLENDER, 13940, RT.6/RW.6, PENGGILINGAN, KEC. CAKUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13940",7848,ISLAM,6823,,,FAILED,
TPU KP. KAPUK,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,KLENDER,"JL. KAPUK 2 NO.56, RT.9/RW.5, KLENDER, KEC. DUREN SAWIT, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13470",5405,ISLAM,1919,,,FAILED,
TPU UTAN KAYU,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,RAWAMANGUN,"JL. R.MANGUN MUKA RAYA, RT.2/RW.14, RAWAMANGUN, KEC. PULO GADUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13220",66229,ISLAM,53754,,,FAILED,
TPU CIPINANG BARU,KOTA ADM. JAKARTA TIMUR,PULOGADUNG,CIPINANG,"RW.2, RT.10/RW.2, CIPINANG, KEC. PULO GADUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13240",1527,ISLAM,6211,,,FAILED,
TPU KP. BARU,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,"JL. TIPAR CAKUNG, RT.1/RW.8, CAKUNG BAR., KEC. CAKUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13910",16960,ISLAM,6211,,,FAILED,
TPU KALISARI,KOTA ADM. JAKARTA TIMUR,PASAR REBO,KALISARI,"JALAN KALI SARI, RT.10/RW.11, KALISARI, KEC. PS. REBO, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13780",45931,ISLAM,8171,,,FAILED,
TPU CIJANTUNG,KOTA ADM. JAKARTA TIMUR,PASAR REBO,CIJANTUNG,"JL. LB. SARI NO.17, RT.6/RW.2, CIJANTUNG, KEC. PS. REBO, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13770",22421,ISLAM,7838,,,FAILED,
TPU KP. GEDONG,KOTA ADM. JAKARTA TIMUR,PASAR REBO,GEDONG,"JL. RAYA CONDET NO.26, RT.10/RW.5, GEDONG, KEC. PS. REBO, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13760",7339,ISLAM,3668,,,FAILED,
TPU BANTARJATI,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,SETU,"JALAN BANTAR JATI, SETU, CIPAYUNG, RT.7/RW.2, SETU, JAKARTA TIMUR, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13880",18400,ISLAM,4539,,,FAILED,
TPU BAMBU APUS DAN TPU BAMBU WULUNG,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,SETU,"JL. RAYA SETU NO.43, RT.9/RW.5, SETU, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13880",68048,ISLAM,10757,,,FAILED,
TPU CEGER,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CEGER,"JL. PUSARA NO.82, RT.2/RW.5, CEGER, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13820",8781,ISLAM,2451,,,FAILED,
TPU CIPAYUNG,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,"JL. CIPAYUNG RAYA NO.60, RT.8/RW.3, CIPAYUNG, KEC. CIPAYUNG, KOTA JAKARTA TIMUR, DAERAH KHUSUS IBUKOTA JAKARTA 13840",42573,ISLAM,5379,,,FAILED,
TPU KOBER JATINEGARA,KOTA ADM. JAKARTA TIMUR,JATINEGARA,RAWA BUNGA,"Jl. Kober Kecil No.3, RT.2/RW.8, Rw. Bunga, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13350",60825.49,ISLAM,20447,,,FAILED,
TPU KP BAYUR,KOTA ADM. JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,"Jakarta Timur, RT.9/RW.4, Cipinang Melayu, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13620",2762,ISLAM,2409,,,FAILED,
TPU PRUMPUNG,KOTA ADM. JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,"Jl. TPU Prumpung, RT.3/RW.6, Cipinang Besar Utara, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13410",47012,ISLAM,19889,,,FAILED,
TPU PENGGILINGAN,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,JATI,"Jl. Layur No.2, RT.20/RW.5, Jati, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",55245,ISLAM,32529,,,FAILED,
TPU KP. PENGGILINGAN,KOTA ADM. JAKARTA TIMUR,CAKUNG,PENGGILINGAN,"JL. Penggilingan, Penggilingan, Klender, 13940, RT.6/RW.6, Penggilingan, Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13940",15696,ISLAM,6458,,,FAILED,
TPU KP. KAPUK,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,KLENDER,"Jl. Kapuk 2 No.56, RT.9/RW.5, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470",10810,ISLAM,1816,,,FAILED,
TPU UTAN KAYU,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,"Jl. R.Mangun Muka Raya, RT.2/RW.14, Rawamangun, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13220",66229,ISLAM,51804,,,FAILED,
TPU CIPINANG BARU,KOTA ADM. JAKARTA TIMUR,PULO GADUNG,CIPINANG,"RW.2, RT.10/RW.2, Cipinang, Kec. Pulo Gadung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13240",7328,ISLAM,5860,,,FAILED,
TPU KP. BARU,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,"Jl. Tipar Cakung, RT.1/RW.8, Cakung Bar., Kec. Cakung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13910",16960,ISLAM,5860,,,FAILED,
TPU KALISARI,KOTA ADM. JAKARTA TIMUR,PASAR REBO,KALISARI,"Jalan Kali Sari, RT.10/RW.11, Kalisari, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13780",45931,ISLAM,7848,,,FAILED,
TPU CIJANTUNG,KOTA ADM. JAKARTA TIMUR,PASAR REBO,CIJANTUNG,"Jl. Lb. Sari No.17, RT.6/RW.2, Cijantung, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13770",16857,ISLAM,7647,,,FAILED,
TPU KP. GEDONG,KOTA ADM. JAKARTA TIMUR,PASAR REBO,GEDONG,"Jl. Raya Condet No.26, RT.10/RW.5, Gedong, Kec. Ps. Rebo, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13760",7339,ISLAM,3555,,,FAILED,
TPU BANTARJATI,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,SETU,"Jalan Bantar Jati, Setu, Cipayung, RT.7/RW.2, Setu, Jakarta Timur, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13880",18400,ISLAM,4386,,,FAILED,
TPU BAMBU APUS dan TPU BAMBU WULUNG,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,SETU,"Jl. Raya Setu No.43, RT.9/RW.5, Setu, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13880",60415,ISLAM,10110,,,FAILED,
TPU CEGER,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CEGER,"Jl. Pusara No.82, RT.2/RW.5, Ceger, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13820",5829,ISLAM,2294,,,FAILED,
TPU CIPAYUNG,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,"Jl. Cipayung Raya No.60, RT.8/RW.3, Cipayung, Kec. Cipayung, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13840",15315,ISLAM,5154,,,FAILED,
TPU CIPINANG ASEM,KOTA ADM. JAKARTA TIMUR,MAKASAR,KEBON PALA,"JL. Jengki, Malaka, RT.1/RW.2, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 11230",19024,ISLAM/ KRISTEN,11244,,,FAILED,
TPU KEBON PALA,KOTA ADM. JAKARTA TIMUR,MAKASAR,KEBON PALA,"No.,, Jl. Jengki No.21, RT.1/RW.2, Kb. Pala, Kec. Makasar, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13650",8197,ISLAM,5620,,,FAILED,
