nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Pandawa,KOTA ADM. JAKARTA PUSAT,Johar Baru,Tanah Tinggi,-6.1798929,106.8494106,"LOW - kelurahan centroid only, not the actual park","Tanah Tinggi, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Pulo Gundul,KOTA ADM. JAKARTA PUSAT,Johar Baru,Tanah Tinggi,-6.1834329,106.8491421,medium - name matched in result,"RPTRA Pulo Gundul, Tanah Tinggi, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Rustanti,KOTA ADM. JAKARTA PUSAT,Johar Baru,Tanah Tinggi,-6.1798929,106.8494106,"LOW - kelurahan centroid only, not the actual park","Tanah Tinggi, Johar Baru, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Penjaringan Indah,KOTA ADM. JAKARTA UTARA,Penjaringan,Penjaringan,-6.1341017,106.7962225,medium - name matched in result,"RPTRA Penjaringan Indah II, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14430, Indonesia"
Rusun Muara Baru,KOTA ADM. JAKARTA UTARA,Penjaringan,Penjaringan,-6.1289041,106.7992012,"LOW - kelurahan centroid only, not the actual park","Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14430, Indonesia"
Kamal Bahari,KOTA ADM. JAKARTA UTARA,Penjaringan,Kamal Muara,-6.0952517,106.7190137,medium - name matched in result,"RPTRA Kamal Bahari, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14470, Indonesia"
Villa Kapuk Mas 2,KOTA ADM. JAKARTA UTARA,Penjaringan,Kapuk Muara,-6.1229723,106.7613232,"LOW - kelurahan centroid only, not the actual park","Kapuk Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14460, Indonesia"
Rusun Kapuk Muara,KOTA ADM. JAKARTA UTARA,Penjaringan,Kapuk Muara,-6.1229723,106.7613232,"LOW - kelurahan centroid only, not the actual park","Kapuk Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14460, Indonesia"
Dharma Suci,KOTA ADM. JAKARTA UTARA,Penjaringan,Pejagalan,-6.1327067,106.7920397,medium - name matched in result,"RPTRA Dharma Suci, Pejagalan, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14450, Indonesia"
Angke Interaktif,KOTA ADM. JAKARTA UTARA,Penjaringan,Pluit,-6.1093209,106.7697353,medium - name matched in result,"RPTRA Angke Interaktif, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14440, Indonesia"
Jakpro Asri,KOTA ADM. JAKARTA UTARA,Penjaringan,Pluit,-6.1120210,106.7806628,medium - name matched in result,"RPTRA Jakpro Asri, Pluit, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14440, Indonesia"
Sunter Jaya Berseri,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1518570,106.8781723,"LOW - kelurahan centroid only, not the actual park","Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Tunas Harapan,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1518570,106.8781723,"LOW - kelurahan centroid only, not the actual park","Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Nirmala,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1545010,106.8673808,medium - name matched in result,"RPTRA Nirmala, Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sunter Mas,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1549367,106.8733570,medium - name matched in result,"RPTRA Sunter Mas, Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Danau Sunter,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1518570,106.8781723,"LOW - kelurahan centroid only, not the actual park","Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sunter Indah,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1518570,106.8781723,"LOW - kelurahan centroid only, not the actual park","Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sunter Hijau,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1518570,106.8781723,"LOW - kelurahan centroid only, not the actual park","Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Pulo Besar,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Jaya,-6.1518570,106.8781723,"LOW - kelurahan centroid only, not the actual park","Sunter Jaya, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Lestari Indah,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Papanggo,-6.1220617,106.8686810,medium - name matched in result,"RPTRA Lestari Indah, Papanggo, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14340, Indonesia"
Green Bisma,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Papanggo,-6.1292010,106.8721639,"LOW - kelurahan centroid only, not the actual park","Papanggo, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14340, Indonesia"
Manggala Bisma,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Papanggo,-6.1292010,106.8721639,"LOW - kelurahan centroid only, not the actual park","Papanggo, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14340, Indonesia"
Sungai Bambu,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sungai Bambu,-6.1303140,106.8909162,medium - name matched in result,"RPTRA Sungai Bambu, Sungai Bambu, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14330, Indonesia"
Bawang Putih,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Kebon Bawang,-6.1198964,106.8885581,"LOW - kelurahan centroid only, not the actual park","Kebon Bawang, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14320, Indonesia"
Sutra Indah 3,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Agung,-6.1386040,106.8643448,"LOW - kelurahan centroid only, not the actual park","Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sutra Indah 4,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Agung,-6.1386040,106.8643448,"LOW - kelurahan centroid only, not the actual park","Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sutra Indah 1,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Agung,-6.1406504,106.8696949,medium - name matched in result,"RPTRA Sutra Indah 1, Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Kampung Indah Lestari,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Agung,-6.1386040,106.8643448,"LOW - kelurahan centroid only, not the actual park","Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sutra Indah 2,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Agung,-6.1386040,106.8643448,"LOW - kelurahan centroid only, not the actual park","Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sunter Muara,KOTA ADM. JAKARTA UTARA,Tanjung Priok,Sunter Agung,-6.1386040,106.8643448,"LOW - kelurahan centroid only, not the actual park","Sunter Agung, Tanjung Priok, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14350, Indonesia"
Sindang Raya,KOTA ADM. JAKARTA UTARA,Koja,Koja,-6.1121495,106.8968171,"LOW - name not found in matched address, verify manually","RPTRA Sindang Jaya, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14220, Indonesia"
Walang Baru,KOTA ADM. JAKARTA UTARA,Koja,Tugu Utara,-6.1224924,106.9121406,"LOW - kelurahan centroid only, not the actual park","Tugu Utara, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14260, Indonesia"
Tugu Permai,KOTA ADM. JAKARTA UTARA,Koja,Tugu Utara,-6.1224924,106.9121406,"LOW - kelurahan centroid only, not the actual park","Tugu Utara, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14260, Indonesia"
Amanah,KOTA ADM. JAKARTA UTARA,Koja,Tugu Utara,-6.1198646,106.9183380,medium - name matched in result,"RPTRA Amanah, Tugu Utara, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14260, Indonesia"
Permata,KOTA ADM. JAKARTA UTARA,Koja,Tugu Utara,-6.1278241,106.9147405,medium - name matched in result,"RPTRA Permata, Tugu Utara, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14260, Indonesia"
Rawa Badak Utara,KOTA ADM. JAKARTA UTARA,Koja,Rawa Badak Utara,-6.1172656,106.8966394,medium - name matched in result,"RPTRA Rawa Badak, Rawa Badak Utara, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14230, Indonesia"
Radar Pembangunan,KOTA ADM. JAKARTA UTARA,Koja,Rawa Badak Utara,-6.1201075,106.8967122,medium - name matched in result,"RPTRA Radar Pembangunan, Rawa Badak Utara, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14230, Indonesia"
Rasela,KOTA ADM. JAKARTA UTARA,Koja,Rawa Badak Selatan,-6.1310038,106.8994683,"LOW - kelurahan centroid only, not the actual park","Rawa Badak Selatan, Koja, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14230, Indonesia"
Cilincing Berseri,KOTA ADM. JAKARTA UTARA,Cilincing,Cilincing,-6.1090904,106.9428098,"LOW - kelurahan centroid only, not the actual park","Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14120, Indonesia"
Manunggal Juang,KOTA ADM. JAKARTA UTARA,Cilincing,Sukapura,-6.1551627,106.9245324,medium - name matched in result,"RPTRA Manunggal Juang, Sukapura, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Taman Pinus,KOTA ADM. JAKARTA UTARA,Cilincing,Sukapura,-6.1402007,106.9176158,medium - name matched in result,"RPTRA Taman Pinus, Sukapura, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Anoa,KOTA ADM. JAKARTA UTARA,Cilincing,Sukapura,-6.1476246,106.9303862,"LOW - kelurahan centroid only, not the actual park","Sukapura, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Marunda,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.0990327,106.9635760,medium - name matched in result,"RPTRA Marunda Klaster A, Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Green Marunda,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Mutiara,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Sirih Kuning,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Al Alam,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Si Pitung,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Mangrove,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Gabus Pucung,KOTA ADM. JAKARTA UTARA,Cilincing,Marunda,-6.1231575,106.9601716,"LOW - kelurahan centroid only, not the actual park","Marunda, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14150, Indonesia"
Rorotan Indah,KOTA ADM. JAKARTA UTARA,Cilincing,Rorotan,-6.1457207,106.9567014,"LOW - kelurahan centroid only, not the actual park","Rorotan, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Malaka Asri,KOTA ADM. JAKARTA UTARA,Cilincing,Rorotan,-6.1457207,106.9567014,"LOW - kelurahan centroid only, not the actual park","Rorotan, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Pancarona,KOTA ADM. JAKARTA UTARA,Cilincing,Rorotan,-6.1457207,106.9567014,"LOW - kelurahan centroid only, not the actual park","Rorotan, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Rorotan Indah 2,KOTA ADM. JAKARTA UTARA,Cilincing,Rorotan,-6.1457207,106.9567014,"LOW - kelurahan centroid only, not the actual park","Rorotan, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Sundiro,KOTA ADM. JAKARTA UTARA,Cilincing,Rorotan,-6.1457207,106.9567014,"LOW - kelurahan centroid only, not the actual park","Rorotan, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14140, Indonesia"
Intiland Teduh Semper Barat,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Tipar Asri,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Pesona Tipar,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Green Rengas,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Satria Biru,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Triputra Persada Hijau,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Taman Sena,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Dukuh Manis,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Kapuas Dua Satu Dua,KOTA ADM. JAKARTA UTARA,Cilincing,Semper Barat,-6.1238539,106.9243509,"LOW - kelurahan centroid only, not the actual park","Semper Barat, Cilincing, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14130, Indonesia"
Patimura,KOTA ADM. JAKARTA UTARA,Pademangan,Pademangan Timur,-6.1382734,106.8473205,"LOW - kelurahan centroid only, not the actual park","Pademangan Timur, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14410, Indonesia"
Budi Mulia,KOTA ADM. JAKARTA UTARA,Pademangan,Pademangan Barat,-6.1342040,106.8361018,"LOW - kelurahan centroid only, not the actual park","Pademangan Barat, Pademangan, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14420, Indonesia"
Biru Laut,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Kelapa Gading Timur,-6.1661472,106.9071641,medium - name matched in result,"RPTRA Biru Laut, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia"
Gading Harmoni,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Kelapa Gading Timur,-6.1682935,106.9042145,"LOW - kelurahan centroid only, not the actual park","Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia"
Dewi Shinta,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Kelapa Gading Timur,-6.1682935,106.9042145,"LOW - kelurahan centroid only, not the actual park","Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia"
Gading Tarian,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Kelapa Gading Timur,-6.1682935,106.9042145,"LOW - kelurahan centroid only, not the actual park","Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia"
NKRI,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1572135,106.9142091,"LOW - kelurahan centroid only, not the actual park","Pegangsaan Dua, Jalan Gading Grande, RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
H. Oyar,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1779986,106.9171819,medium - name matched in result,"RPTRA H. Oyar, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Kelapa Nias IX,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1511519,106.9128208,medium - name matched in result,"RPTRA Kelapa Nias IX, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Griya Pratama,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1732722,106.9128566,medium - name matched in result,"RPTRA Griya Pratama, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Gading Ayu,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1572135,106.9142091,"LOW - kelurahan centroid only, not the actual park","Pegangsaan Dua, Jalan Gading Grande, RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Bellyra Taman Taska,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1572135,106.9142091,"LOW - kelurahan centroid only, not the actual park","Pegangsaan Dua, Jalan Gading Grande, RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Kelapa Puan,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1615875,106.9119569,medium - name matched in result,"RPTRA Kelapa Puan, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Kelapa Nias III,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1537776,106.9108920,medium - name matched in result,"RPTRA Kelapa Nias III, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Pondok Gading,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Pegangsaan Dua,-6.1572135,106.9142091,"LOW - kelurahan centroid only, not the actual park","Pegangsaan Dua, Jalan Gading Grande, RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14250, Indonesia"
Kita Bersaudara,KOTA ADM. JAKARTA UTARA,Kelapa Gading,Kelapa Gading Barat,-6.1556025,106.8951708,"LOW - kelurahan centroid only, not the actual park","Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta, Jawa, 14240, Indonesia"
Matahari,KOTA ADM. JAKARTA BARAT,Tamansari,Maphar,,,FAILED,
Kalijodo,KOTA ADM. JAKARTA BARAT,Tambora,Angke,-6.1447372,106.8007792,"LOW - kelurahan centroid only, not the actual park","Angke, Jalan Angke Barat, RW 01, Angke, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11250, Indonesia"
Jeruk Manis,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,Kebon Jeruk,-6.1914306,106.7724212,medium - name matched in result,"RPTRA Jeruk Manis, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Dupa Wangi,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,Duri Kepa,-6.1720724,106.7757986,medium - name matched in result,"RPTRA Dupa Wangi, Duri Kepa, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kedoya Utara,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,Kedoya Utara,-6.1644383,106.7662117,medium - name matched in result,"RPTRA Kedoya Utara, Kedoya Utara, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Pandawa,KOTA ADM. JAKARTA BARAT,Kebon Jeruk,Kedoya Selatan,-6.1841017,106.7632628,medium - name matched in result,"RPTRA Pandawa, Kedoya Selatan, Kebon Jeruk, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kalideres,KOTA ADM. JAKARTA BARAT,Kalideres,Kalideres,-6.1433942,106.6937942,medium - name matched in result,"RPTRA Kalideres, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Alur Kemuning,KOTA ADM. JAKARTA BARAT,Kalideres,Tegal Alur,-6.1157857,106.7147434,medium - name matched in result,"RPTRA Alur Kemuning, Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Alur Anggrek,KOTA ADM. JAKARTA BARAT,Kalideres,Tegal Alur,-6.1284759,106.7170536,medium - name matched in result,"RPTRA Alur Anggrek, Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Alur Dahlia,KOTA ADM. JAKARTA BARAT,Kalideres,Tegal Alur,-6.1203628,106.7182353,medium - name matched in result,"RPTRA Alur Dahlia, Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Alur Flamboyan,KOTA ADM. JAKARTA BARAT,Kalideres,Tegal Alur,-6.1191781,106.7164165,"LOW - kelurahan centroid only, not the actual park","Tegal Alur, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11820, Indonesia"
Cambela,KOTA ADM. JAKARTA BARAT,Kalideres,Kamal,-6.1025778,106.6978454,"LOW - kelurahan centroid only, not the actual park","Kamal, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11810, Indonesia"
Poraya,KOTA ADM. JAKARTA BARAT,Kalideres,Kamal,-6.1141884,106.6981984,medium - name matched in result,"RPTRA Poraya, Kamal, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Pegadungan,KOTA ADM. JAKARTA BARAT,Kalideres,Pegadungan,-6.1331636,106.7103762,medium - name matched in result,"RPTRA Kenanga, Pegadungan, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kenanga,KOTA ADM. JAKARTA BARAT,Kalideres,Pegadungan,-6.1331636,106.7103762,medium - name matched in result,"RPTRA Kenanga, Pegadungan, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Nusa Indah,KOTA ADM. JAKARTA BARAT,Kalideres,Pegadungan,-6.1339168,106.7019941,"LOW - kelurahan centroid only, not the actual park","Pegadungan, Kalideres, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11830, Indonesia"
Maya Asri 13,KOTA ADM. JAKARTA BARAT,Palmerah,Palmerah,-6.2017259,106.7903346,"LOW - kelurahan centroid only, not the actual park","Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, 11480, Indonesia"
Jati Pulo Akur,KOTA ADM. JAKARTA BARAT,Palmerah,Jati Pulo,-6.1777057,106.8036982,"LOW - kelurahan centroid only, not the actual park","Jati Pulo, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Manggis,KOTA ADM. JAKARTA BARAT,Palmerah,Kemanggisan,-6.1941488,106.7943139,medium - name matched in result,"RPTRA Manggis, Kemanggisan, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Bambu Kuning,KOTA ADM. JAKARTA BARAT,Palmerah,Kota Bambu Selatan,-6.1875027,106.8035245,"LOW - kelurahan centroid only, not the actual park","Kota Bambu Selatan, Palmerah, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kembangan,KOTA ADM. JAKARTA BARAT,Kembangan,Kembangan Utara,-6.1751932,106.7326938,medium - name matched in result,"RPTRA Kembangan Gajah Tunggal, Kembangan Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Kampung Baru,KOTA ADM. JAKARTA BARAT,Kembangan,Kembangan Utara,-6.1732667,106.7427257,"LOW - kelurahan centroid only, not the actual park","Kembangan Utara, Kembangan, Jakarta Barat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
