nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Tiga Durian,KOTA ADM. JAKARTA SELATAN,Pancoran,Duren Tiga,-6.2559452,106.8341575,"LOW - kelurahan centroid only, not the actual park","Duren Tiga, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12760, Indonesia"
Beringin,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Jagakarsa,-6.3247665,106.8194219,"LOW - kelurahan centroid only, not the actual park","Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12620, Indonesia"
Taman Matoa,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Jagakarsa,-6.3301219,106.8226717,medium - name matched in result,"RPTRA Taman Matoa Jagakarsa, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Muawwanah,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Srengseng Sawah,-6.3449388,106.8262052,"LOW - kelurahan centroid only, not the actual park","Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia"
Shibi,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Srengseng Sawah,-6.3449388,106.8262052,"LOW - kelurahan centroid only, not the actual park","Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia"
Citra Betawi,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Srengseng Sawah,-6.3449388,106.8262052,"LOW - kelurahan centroid only, not the actual park","Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia"
Betawi Ngumpul,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Srengseng Sawah,-6.3449388,106.8262052,"LOW - kelurahan centroid only, not the actual park","Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia"
H. Lele,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Srengseng Sawah,-6.3449388,106.8262052,"LOW - kelurahan centroid only, not the actual park","Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia"
Tiga Pesona,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Srengseng Sawah,-6.3449388,106.8262052,"LOW - kelurahan centroid only, not the actual park","Srengseng Sawah, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12640, Indonesia"
Ciganjur Berseri,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Ciganjur,-6.3355851,106.8070616,"LOW - kelurahan centroid only, not the actual park","Ciganjur, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 16431, Indonesia"
Taman Jangkrik,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Ciganjur,-6.3417212,106.8075196,medium - name matched in result,"RPTRA Taman Jangkrik, Ciganjur, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Taman Lenteng Agung,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Lenteng Agung,-6.3228410,106.8360146,medium - name matched in result,"RPTRA Taman Lenteng Agung, Lenteng Agung, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Cipedak Gemilang,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Cipedak,-6.3518261,106.8016288,"LOW - kelurahan centroid only, not the actual park","Cipedak, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Cendekia,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Cipedak,-6.3518261,106.8016288,"LOW - kelurahan centroid only, not the actual park","Cipedak, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Cinta Aselih,KOTA ADM. JAKARTA SELATAN,Jagakarsa,Cipedak,-6.3528901,106.7932036,medium - name matched in result,"RPTRA Cinta Aselih, Cipedak, Jagakarsa, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Puspita,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Pesanggrahan,-6.2530463,106.7601793,medium - name matched in result,"RPTRA Puspita, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Abdi Praja,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Pesanggrahan,-6.2557097,106.7600011,"LOW - kelurahan centroid only, not the actual park","Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12320, Indonesia"
Anggrek Bintaro,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Bintaro,-6.2640814,106.7704605,medium - name matched in result,"RPTRA Anggrek Bintaro, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Permai,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Bintaro,-6.2578633,106.7635489,medium - name matched in result,"RPTRA Bintaro Permai, No.15 A, Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12330, Indonesia"
Asthabrata,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Bintaro,-6.2682262,106.7648364,"LOW - kelurahan centroid only, not the actual park","Bintaro, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12330, Indonesia"
Bhinneka,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Petukangan Utara,-6.2296276,106.7510906,"LOW - kelurahan centroid only, not the actual park","Petukangan Utara, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12260, Indonesia"
Petukangan Berseri,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Petukangan Utara,-6.2296276,106.7510906,"LOW - kelurahan centroid only, not the actual park","Petukangan Utara, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, 12260, Indonesia"
Manunggal,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Petukangan Selatan,-6.2438299,106.7472283,medium - name matched in result,"RPTRA Manunggal, Petukangan Selatan, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Nusantara,KOTA ADM. JAKARTA SELATAN,Pesanggrahan,Ulujami,-6.2473431,106.7670121,medium - name matched in result,"RPTRA Nusantara, Ulujami, Pesanggrahan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Utakara Beriman,KOTA ADM. JAKARTA TIMUR,Matraman,Utan Kayu Utara,-6.1960719,106.8675193,medium - name matched in result,"RPTRA UTAKARA Beriman, Utan Kayu Utara, Matraman, Jakarta Timur, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
